Feature,Importance
Order Profit Per Order,0.2257144121053693
Order Item Total,0.18311536519811702
Shipping Mode,0.11552251274977304
Days for shipment (scheduled),0.1036557182773729
Order Region,0.06411916688587856
Order_Month,0.06372435681826172
Order_DayOfWeek,0.061253359665790846
Customer Segment,0.03593909025454989
Product Price,0.028053697954068216
Category Name,0.02717557263302145
Order Item Quantity,0.026164560826582924
Market,0.022177120134526416
Order_Quarter,0.017523547399024498
Department Name,0.017403233266395046
Is_Weekend,0.008458285831268335
