Order Region,Risk_Tier
Canada,Low Risk
Caribbean,Medium Risk
Central Africa,High Risk
Central America,High Risk
Central Asia,High Risk
East Africa,High Risk
East of USA,High Risk
Eastern Asia,Medium Risk
Eastern Europe,High Risk
North Africa,Medium Risk
Northern Europe,Medium Risk
Oceania,Medium Risk
South America,Medium Risk
South Asia,High Risk
South of  USA ,High Risk
Southeast Asia,High Risk
Southern Africa,Medium Risk
Southern Europe,Medium Risk
US Center ,High Risk
West Africa,Medium Risk
West Asia,High Risk
West of USA ,Medium Risk
Western Europe,High Risk
